dataMatrix	C100a	C100b	C100c
M388.7117	1788326.45111716	NA	2029710.77536487
M390.9764	387172.908262633	NA	715093.341204555
M390.9825	1565969.16762067	1796330.19155838	1947186.66220483
M393.0643	911802.625100757	683917.283630829	740128.861516941
M393.0830	NA	4178813.51375422	6816047.40384019
M393.2051	4726564.08162183	4262165.1344086	3663436.12011078
M394.2236	4244432.19288157	4838062.2217923	4525096.970502
M396.9905	1246102.77178668	1377438.29077253	1515136.36970136
M396.9995	1957157.04279499	2220620.98035861	2365352.5312015
M397.1409	13665878.4643301	13359119.7106436	11838353.5780574
M397.2712	257681288.341016	296888432.086311	301280694.809716
M398.1443	1783658.69521439	NA	1743382.47309658
M398.2746	34589502.2370339	41579790.5452237	42496161.0074537
M399.2589	1208069.42746857	1709877.89426883	2171925.30029902
M399.2694	10376452.8565278	10671026.4535823	11603970.3091935
M399.2779	2287559.2133724	3894941.78723141	2610698.578919
M400.1067	2994451.98830723	2346468.39852972	2124378.47625833
M402.8242	2211572.02725194	1926682.41002183	NA
M407.2208	297139350.551667	245534056.180805	217811272.665895
M408.2242	35837420.8041674	30048728.1120257	25655280.0243193
M408.2391	18484615.5146746	17574662.3017036	16339356.8122997
M409.2166	6729405.86134591	4061117.13558291	5267966.99673021
M409.2275	1438822.21643748	1402409.16432718	1470787.08009707
M409.2425	2582251.35888607	3641624.24971007	3252158.59649378
M409.3286	6179251.49970447	7083769.43243089	7809367.23958309
M410.8559	NA	2268132.94385055	2758027.91368893
M410.9852	1173201.14092922	1288832.86425803	1106140.73575032
M411.2247	8790210.99824318	8759507.77225856	7546339.87847254
M414.9971	5657248.36949206	5968829.41745275	NA
M415.2114	50299989.0598071	38539879.641849	33680525.15538
M415.2365	13444357.6464216	14162030.5477659	14393474.0974144
M416.2147	10574924.1403655	9042016.96169001	7052846.54666445
M416.2399	1786758.47023829	NA	1988138.63261648
M417.0021	6718663.33751479	8449015.45714533	8014333.14463509
M417.0302	NA	NA	NA
M418.9993	1767586.02329064	2458413.14365814	2287018.83535957
M421.2535	9086241.75416088	9802266.0395901	8440474.96692193
M427.2903	NA	3247569.8100445	4339804.44971593
M429.0216	2143766.19336629	2405592.25629477	2665268.13338065
